,industry,job_title,company_name,location,summary,date_posted
1,healthcare,Medical Scheduler,"Sacramento Ear, Nose and Throat","Sacramento, CA 95815 (Johnson Business Park area)","Open to applicants who do not have a high school diploma/GED.
Open to applicants who do not have a college diploma.
Relays necessary messages to staff.",22 days ago
2,healthcare,Chiropractic Assistant,Baratta Holistic Center,"Carmichael, CA 95608","Answer phones, scheduling appointments, billing, basic computer work.
We are utilizing all safety measures including a plastic protector at the front desk;…",6 days ago
3,healthcare,Administrative Assistant for Medical Front Office,California IVF Fertility Center,"Sacramento, CA 95833 (Gateway Center area)","Position includes reception, registration, telephones, medical records, and patient scheduling.
Experience preferred in medical front office.",30+ days ago
4,healthcare,Medical Scribe,"Capital OB/GYN, Inc.","Sacramento, CA 95825 (Campus Commons area)","Medical Scribe needed for a busy OB/GYN office to work closely with physician , will be responsible for but not limited to, real time charting, retrieving…",19 days ago
5,healthcare,Surgery Scheduler,Northern California Orthopaedic Associates,"Sacramento, CA 95825 (Sierra Oaks area)","High school or equivalent (Preferred).
Previous surgery scheduling experience preferred.
Scheduler will be responsible for organizing surgery schedule,…",30+ days ago
6,healthcare,Front Office Medical Assistant,Pacific Skin Institute,"Sacramento, CA 95815 (Point West area)","We offer a competitive salary with Medical, Dental, and Vision Benefits, a 401K, PTO and paid holidays.
Adaptable/flexible -- enjoys doing work that requires…",19 days ago
7,healthcare,Ambulatory Surgery Center Administrator,Clinical Management Consultants,"Sacramento, CA","Competency in HR Policies including knowledge with CMS, DHS, and OSHA surveys is a huge plus and previous experience working at an administrative or supervisory…",26 days ago
8,healthcare,Medical Assistant,Action Supportive Care Services,"Sacramento, CA","Medical assistant in school setting to assist with testing, contact tracing of district staff and students and other related duties pertaining to COVID…",9 days ago
9,healthcare,Administrative Assistant,El Hogar Community Services,"Sacramento, CA 95811 (Richards area)","_Employee who work 30 hours or more a week are eligible to participate in the organizations group medical, dental, vision, 401K retirement and voluntary life…",11 days ago
10,healthcare,Front Desk Chiropractic Assistant,Restoration Spinal Care,"Fair Oaks, CA 95628","High school or equivalent (Preferred).
Run the front desk and be the main point of contact for all patients.
Greet patients and make every one who walks through…",28 days ago
11,healthcare,Admissions Coordinator,University Post-Acute Rehab,"Sacramento, CA 95817 (Medical Center area)","High school diploma or GED.
The Admissions Coordinator will treat each resident fairly, kindly, and show them dignity and respect.",30+ days ago
12,healthcare,Remote Office Manager - *WorkFromHome*,Palo Alto Oral Health,"Sacramento, CA","The selected candidate will understand how to bill, run payroll, schedule appointments, process claims/payments, send referrals, etc.",18 days ago
13,healthcare,Call Center Representative,"Smiles By Design Dental Group-Encinitas, CA",California,"Respond to high volume inbound calls while compassionately handling questions/concerns.
High school or equivalent (Preferred).",3 days ago
14,healthcare,Administrative Assistant II,UC Davis Health,N/A,"Responsible for editing/correcting previously signed out cases (Amendments), creating and formatting addendums for signed out cases, and preparing cases for…",1 day ago
